Ad group,Ad ID,Source,Title Part 1,Title Part 2,Title Part 3,Ad description,Ad description 2,Impressions,Clicks,CTR [%]
Ad 1,[72980212665076],Prolific,The Nation's Largest,Fertility Centre,,Wide range of services- finance options available,,312,1,0.321
Ad 1,[72980212660542],Generated,Fertility doctor,Shady grove fertility,,Discover what's possible with the leading fertility doctors,and the most advanced fertility treatment.,303,2,0.660
Ad 1,[72980212661697],Students,Shady Grove Fertility Center,Make An Appointment NOW,,"IVF, IUI and Donor Egg Treatments. New Patient Appointments, Follow-up Appointments.",Come and visit Virginia's Top Doctors to DISCOVER WHAT'S POSSIBLE at SHADY GROVE FERTILITY,317,3,0.946
Ad 1,[72980212664462],Prolific,Shady Groves Fertility Clinic,Shady Groves Fertility Clinic,,A place for all your fertility needs.,We are high professional and qualified to assess and address your individual needs.,304,3,0.987
Ad 1,[72980212659789],Translated,Top fertility doctors,Near You,,Get personal care at best price. Schedule an appointment now.,,364,4,1.099
Ad 1,[72980212658897],Original,Fertility Doctors Near You,Leading Fertility Docs in VA,,Shady Grove Fertility doctors offer personalized care and full refund options.,,361,4,1.108
Ad 1,[72980212661431],Students,Make you feel like home,Make you feel like home,,Fertilizing treatment in the most convenient place in town with the expert,,302,4,1.325
Ad 1,[72980212666096],Prolific,Advanced Fertility Treatment,Advanced Fertility Treatment,,"Personal care given by experienced professionals, with financial options to suit you.",,329,5,1.520
Ad 1,[72980212663091],Students,Encouraging fertility,Encouraging fertility,,"The best service you can get, the revolutionary fertility treatment",,307,5,1.629
Ad 1,[72980212663598],Prolific,Largest fertility center,Largest fertility center,,Come to the largest fertility Center in Loudon county,,306,6,1.961
Ad 1,[72980212661962],Students,Easily accessed,Easily accessed,,Walk to your treatment,,306,6,1.961
Ad 1,[72980212665838],Prolific,Shady Grove Fertility Clinic,Leesburg,,State of the Art IVF Center at Afforable Pricing with Financial Options.,"IUI, IVF, Donor Egg Treatment and More. Find Out What's Possible!",407,13,3.194
Ad 1,[72980212660917],Students,Life changing,Life changing,,How to make your life healthier and better,,305,14,4.590
Ad 10,[73117651764988],Original,Top Therapists,Near You (With Free Estimates),,Real prices from local pros for any project. For free.,,442,2,0.452
Ad 10,[73117651774398],Prolific,Quit Smoking With Hypnosis,Quit Smoking With Hypnosis,,Find a service near you. Proven effectiveness.,,321,2,0.623
Ad 10,[73117651774269],Prolific,Discover a new way to,better health in 2020,,Quit smoking the easy way and see your health improve immediately,,569,4,0.703
Ad 10,[73117651773235],Students,Quit smoking with hypnosis,Find quick,,It's easy to quit smoking with revolutionary hypnosis that is more common than you think,,307,3,0.977
Ad 10,[73117651773363],Students,Quit Smoking today!!,Just choose a therapist,and book a session,Professionals from all fields of study waiting for you,,518,6,1.158
Ad 10,[73117651774529],Prolific,Break Free From Addictions,With Hypnosis,,"Stop smoking using hypnosis today, with certified professionals!",,315,4,1.270
Ad 10,[73117651774121],Prolific,Smoking Hypnosis,Smoking Hypnosis,,Stop Smoking Today!,,314,4,1.274
Ad 10,[73117651774652],Prolific,Want to stop smoking,effortlessly?,,Search now to find a Hypnotherapist near you,,310,5,1.613
Ad 10,[73117651773867],Students,QUIT smoking is easy.,Don’t hurry to take pills,before you see this,A quit smoking hypnosis service is near you,,304,5,1.645
Ad 10,[73117651774397],Prolific,Say HypNOsis to Smoking!,Say HypNOsis to Smoking!,,"Start on your journey of quitting smoking, consider hypnosis.",,303,5,1.650
Ad 10,[73117651774125],Prolific,Quit smoking through hypnosis,Quit smoking through hypnosis,,Quit quit quit,,393,7,1.781
Ad 10,[73117651774268],Prolific,Quit Smoking with Hypnosis,Quit Smoking with Hypnosis,,Find smoking cessation hypnosis services near you today!,,309,6,1.942
Ad 10,[73117651773364],Students,Blow the smoke away!,Blow the smoke away!,,Find the nearest therapist around you and start your healthy lifestyle.,,305,6,1.967
Ad 10,[73117651773740],Students,Stop Smoking Hypnosis,Searching | Opinions | Prices,,"Over 1,573,000 satisfied customers. Best Price Guarantee. Read Real People Feedbacks.",24/7 Customer Service. We speak your language. Get Instant Confirmation. +7-904-957-73-73,378,8,2.116
Ad 10,[73117651772871],Translated,10 top therapists,Get top recommendations,,Your search for top therapists ends here. Check out top results now.,,310,7,2.258
Ad 10,[73117651773112],Generated,Top 10 quit smoking hypnosis,Near you (free estimates),,A positive way that empower you to make change,Safe and effective way to quit smoking,300,10,3.333
Ad 10,[73117651773613],Students,Stop smoking by one easy step,Stop smoking by one easy step,,Well known method to stop smoking by hypnosis. Find here the expert near you.,Don’t believe? Click here and read more about it works,387,14,3.618
Ad 2,[72361737342003],Prolific,The right birth control,for you!,,"Find the right birth control for you today, free of charge.",,365,3,0.822
Ad 2,[72361737341766],Students,Control your own body,Control your own body,,Are you tired of doctors' judgment? NURX Treat you during breakfast at home!,A new style of sexual health style,337,3,0.890
Ad 2,[72361737338833],Original,Order Contraception Online,"Safe, effective, convenient",,Learn about oral contraceptives from our licensed doctors & free prescription.,,443,4,0.903
Ad 2,[72361737341266],Students,Can you control your body?,Nurx Birth controllers,,All we try is make your life easier.,,328,3,0.915
Ad 2,[72361737340896],Students,Birth control methods for her,Birth control methods for her,,"get your pills, patch, rings or shots for free",& we will make sure u get it as fast as possible!,503,5,0.994
Ad 2,[72361737339211],Translated,Best contraception for you,Order today!,,Check out our selection & order now. Speak to a doctor online.,,369,4,1.084
